Wallet Address,Referral Code
0x3320744a528BfdCEfFccD9aAA53A3d610867ADb7,Q8EMl14v
0x6b90505eAc217f16A53868B9E20baAC2D71CDd0e,diI11gIV
0x52A554020f3a85A98A3D6F981A0fD889Ba841079,cgkj0VRI
0xEEe30EdCEa379e56533Ee0b6508e9Cd026B886CB,ArRjHCtb
0x44423E8AD332b1150330448Eacc9eA3b358e9Afd,qIELMVzi
0x348595A6D9E9cc053cE22CA9Fc3EB8F142AfEf0A,4YBnKRFS
0xc08bF93f774fdF73453365F5a5D88136321F7B44,8Pep3ppd
0x8b2363A17f7E7AaCc0002A9413751048616BCddB,dr4zNVSG
0x782419b0e8117E6199d764599EC9B80eC7103E34,RFNljZ77
0xBE5b5a033ef0de9C3be003635eEA05791522f3eE,GGH65UOK
0x90119026b85841DCE5E6ccE5eaFE0ceF242e5eE8,SB8Jrie2
0x246A3B1A57710399F99650907B1a33979b027eDA,b7k1yLvU
0x8Bb440F37E9a7Bc6469D3051074B0A9fee9a3Dff,ANJS5mNr
0xA28A54E70eEA7f648CD531B5b2a00beE70087eab,EhEF6UIY
